# IR, RED, Calculated Heart Rate, Calculated Respiration Rate, Calculated SPO2
232113.00,217148.00,66.67,17.05,96.90
232098.00,217113.00,66.67,17.05,96.90
232185.00,217115.00,66.67,17.05,96.90
232221.00,217176.00,66.67,17.05,96.90
232264.00,217163.00,66.67,17.05,96.90
232142.00,217100.00,66.67,17.05,96.90
231967.00,217129.00,66.67,17.05,96.90
231750.00,217054.00,66.67,17.05,96.90
231440.00,216911.00,66.67,17.05,96.90
231262.00,216887.00,66.67,17.05,96.90
231049.00,216798.00,66.67,17.05,96.90
230883.00,216691.00,66.67,17.05,96.90
230678.00,216688.00,66.67,17.05,96.90
230543.00,216706.00,66.67,17.05,96.90
230409.00,216550.00,66.67,17.05,96.90
230266.00,216551.00,66.67,17.05,96.90
230181.00,216593.00,66.67,17.05,96.90
230154.00,216528.00,66.67,17.05,96.90
230172.00,216620.00,66.67,17.05,96.90
230176.00,216554.00,66.67,17.05,96.90
230166.00,216644.00,66.67,17.05,96.90
230142.00,216569.00,66.67,17.05,96.90
230159.00,216667.00,66.67,17.05,96.90
230147.00,216575.00,66.67,17.05,96.90
230116.00,216681.00,66.67,17.05,96.90
230153.00,216580.00,66.67,17.05,96.90
230184.00,216748.00,66.67,17.05,96.90
230238.00,216583.00,66.67,17.05,96.90
230223.00,216733.00,66.67,17.05,96.90
230212.00,216619.00,66.67,17.05,96.90
230280.00,216704.00,66.67,17.05,96.90
230368.00,216598.00,66.67,17.05,96.90
230384.00,216727.00,66.67,17.05,96.90
230410.00,216769.00,66.67,17.05,96.90
230475.00,216705.00,66.67,17.05,96.90
230499.00,216852.00,66.67,17.05,96.90
230558.00,216758.00,66.67,17.05,96.90
230687.00,216781.00,66.67,17.05,96.90
230641.00,216941.00,66.67,17.05,96.90
230686.00,216772.00,66.67,17.05,96.90
230740.00,216864.00,66.67,17.05,96.90
230767.00,217015.00,66.67,17.05,96.90
230845.00,216866.00,66.67,17.05,96.90
230981.00,216905.00,66.67,17.05,96.90
230917.00,217078.00,66.67,17.05,96.90
230996.00,216921.00,66.67,17.05,96.90
231033.00,216950.00,66.67,17.05,96.90
231075.00,217132.00,66.67,17.05,96.90
231146.00,217018.00,66.67,17.05,96.90
231293.00,217009.00,66.67,17.05,96.90
231169.00,217194.00,66.67,17.05,96.90
231300.00,217070.00,66.67,17.05,96.90
231459.00,217077.00,66.67,17.05,99.08
231344.00,217244.00,66.67,17.05,99.08
231393.00,217160.00,66.67,17.05,99.08
231373.00,217088.00,66.67,17.05,99.08
230977.00,217190.00,66.67,17.05,99.08
230756.00,216949.00,66.67,17.05,99.08
230562.00,216847.00,66.67,17.05,99.08
230243.00,216906.00,66.67,17.05,99.08
230035.00,216692.00,66.67,17.05,99.08
229903.00,216617.00,66.67,17.05,99.08
229625.00,216723.00,66.67,17.05,99.08
229493.00,216567.00,66.67,17.05,99.08
229460.00,216470.00,66.67,17.05,99.08
229189.00,216619.00,66.67,17.05,99.08
229190.00,216411.00,66.67,17.05,99.08
229139.00,216489.00,66.67,17.05,99.08
229163.00,216434.00,66.67,17.05,99.08
229126.00,216505.00,66.67,17.05,99.08
229217.00,216468.00,66.67,17.05,99.08
229177.00,216513.00,66.67,17.05,99.08
229188.00,216468.00,66.67,17.05,99.08
229153.00,216533.00,66.67,17.05,99.08
229200.00,216480.00,66.67,17.05,99.08
229224.00,216552.00,66.67,17.05,99.08
229241.00,216519.00,66.67,17.05,99.08
229253.00,216566.00,66.67,17.05,99.08
229268.00,216669.00,66.67,17.05,99.08
229437.00,216511.00,66.67,17.05,99.08
229378.00,216754.00,66.67,17.05,99.08
229425.00,216605.00,66.67,17.05,99.08
229428.00,216694.00,66.67,17.05,99.08
229538.00,216626.00,66.67,17.05,99.08
229547.00,216695.00,66.67,17.05,99.08
229652.00,216838.00,66.67,17.05,99.08
229661.00,216692.00,61.22,17.05,99.08
229739.00,216800.00,61.22,17.05,99.08
229719.00,216743.00,61.22,17.05,99.08
229819.00,216796.00,61.22,17.05,99.08
229880.00,216865.00,61.22,17.05,99.08
229898.00,216837.00,61.22,17.05,99.08
230025.00,216892.00,61.22,17.05,99.08
230058.00,216946.00,61.22,17.05,99.08
230047.00,216887.00,61.22,17.05,99.08
230173.00,216948.00,61.22,17.05,99.08
230233.00,217017.00,61.22,17.05,99.08
230230.00,216952.00,61.22,17.05,99.08
230355.00,217002.00,61.22,17.05,99.08
230413.00,217077.00,61.22,17.05,99.08
230433.00,217001.00,61.22,17.05,99.08
230510.00,217054.00,61.22,17.05,99.08
230596.00,217120.00,61.22,17.05,99.08
230582.00,217085.00,61.22,17.05,99.08
230674.00,217059.00,61.22,17.05,99.53
230640.00,217133.00,61.22,17.05,99.53
230496.00,217069.00,61.22,17.05,99.53
230183.00,216941.00,61.22,17.05,99.53
229955.00,216934.00,61.22,17.05,99.53
229725.00,216828.00,61.22,17.05,99.53
229380.00,216694.00,61.22,17.05,99.53
229262.00,216707.00,61.22,17.05,99.53
229105.00,216622.00,61.22,17.05,99.53
228848.00,216545.00,61.22,17.05,99.53
228758.00,216554.00,61.22,17.05,99.53
228644.00,216483.00,61.22,17.05,99.53
228569.00,216418.00,61.22,17.05,99.53
228467.00,216493.00,61.22,17.05,99.53
228536.00,216463.00,61.22,17.05,99.53
228572.00,216516.00,61.22,17.05,99.53
228617.00,216468.00,61.22,17.05,99.53
228629.00,216537.00,61.22,17.05,99.53
228636.00,216459.00,61.22,17.05,99.53
228627.00,216564.00,61.22,17.05,99.53
228645.00,216487.00,61.22,17.05,99.53
228615.00,216578.00,61.22,17.05,99.53
228722.00,216477.00,61.22,17.05,99.53
228721.00,216618.00,61.22,17.05,99.53
228764.00,216610.00,61.22,17.05,99.53
228772.00,216603.00,61.22,17.05,99.53
228866.00,216811.00,61.22,17.05,99.53
228945.00,216599.00,61.22,17.05,99.53
228990.00,216784.00,61.22,17.05,99.53
229067.00,216666.00,61.22,17.05,99.53
229088.00,216738.00,61.22,17.05,99.53
229160.00,216799.00,61.22,17.05,99.53
229233.00,216710.00,61.22,17.05,99.53
229253.00,216859.00,61.22,17.05,99.53
229285.00,216805.00,61.22,17.05,99.53
229465.00,216836.00,61.22,17.05,99.53
229397.00,216960.00,61.22,17.05,99.53
229485.00,216878.00,61.22,17.05,99.53
229665.00,216839.00,61.22,17.05,99.53
229635.00,217059.00,61.22,17.05,99.53
229719.00,216887.00,61.22,17.05,99.53
229880.00,216946.00,61.22,17.05,99.53
229786.00,217124.00,61.22,17.05,99.53
229907.00,217029.00,61.22,17.05,99.53
230051.00,217007.00,61.22,17.05,99.53
230013.00,217172.00,61.22,17.05,99.53
230095.00,217039.00,61.22,17.05,99.53
230263.00,217067.00,61.22,17.05,99.53
230205.00,217247.00,61.22,17.05,99.53
230279.00,217125.00,61.22,17.05,99.53
230394.00,217164.00,61.22,17.05,99.42
230372.00,217255.00,61.22,17.05,99.42
230188.00,217136.00,61.22,17.05,99.42
230011.00,217129.00,61.22,17.05,99.42
229743.00,217057.00,61.22,17.05,99.42
229381.00,216915.00,61.22,17.05,99.42
229237.00,216876.00,61.22,17.05,99.42
228961.00,216835.00,61.22,17.05,99.42
228834.00,216699.00,61.22,17.05,99.42
228731.00,216675.00,61.22,17.05,99.42
